"Customer ID","Purchase Date","Product Category","Product Price",Quantity,"Total Purchase Amount","Payment Method","Customer Age",Returns,"Customer Name",Age,Gender,Churn,"Total Amount",Stage_ProductInterest,Stage_Intent,Stage_Purchase,Stage_Return,Stage_Churn
44605,03-05-2023,Home,177,1,2427,PayPal,31,1,"John Rivera",31,Female,0,177,1,1,1,1,0
44605,16-05-2021,Electronics,174,3,2448,PayPal,31,1,"John Rivera",31,Female,0,522,1,1,1,1,0
44605,13-07-2020,Books,413,1,2345,"Credit Card",31,1,"John Rivera",31,Female,0,413,1,1,1,1,0
44605,17-01-2023,Electronics,396,3,937,Cash,31,0,"John Rivera",31,Female,0,1188,1,1,1,0,0
44605,01-05-2021,Books,259,4,2598,PayPal,31,1,"John Rivera",31,Female,0,1036,1,1,1,1,0
13738,25-08-2022,Home,191,3,3722,"Credit Card",27,1,"Lauren Johnson",27,Female,0,573,1,1,1,1,0
13738,25-07-2023,Electronics,205,1,2773,"Credit Card",27,0,"Lauren Johnson",27,Female,0,205,1,1,1,0,0
13738,05-02-2023,Books,370,5,1486,Cash,27,1,"Lauren Johnson",27,Female,0,1850,1,1,1,1,0
13738,21-12-2021,Home,12,2,2175,Cash,27,0,"Lauren Johnson",27,Female,0,24,1,1,1,0,0
13738,09-02-2023,Electronics,40,4,4327,Cash,27,0,"Lauren Johnson",27,Female,0,160,1,1,1,0,0
33969,28-02-2023,Clothing,410,3,5018,"Credit Card",27,0,"Carol Allen",27,Male,0,1230,1,1,1,0,0
33969,05-01-2023,Home,304,1,3883,PayPal,27,1,"Carol Allen",27,Male,0,304,1,1,1,1,0
33969,18-07-2023,Books,54,2,4187,PayPal,27,0,"Carol Allen",27,Male,0,108,1,1,1,0,0
33969,20-12-2021,Electronics,428,4,2289,Cash,27,0,"Carol Allen",27,Male,0,1712,1,1,1,0,0
33969,07-03-2020,Books,281,1,3810,Cash,27,0,"Carol Allen",27,Male,0,281,1,1,1,0,0
33969,21-07-2022,Home,193,2,3198,"Credit Card",27,0,"Carol Allen",27,Male,0,386,1,1,1,0,0
33969,05-07-2023,Clothing,473,3,2881,"Credit Card",27,1,"Carol Allen",27,Male,0,1419,1,1,1,1,0
42650,18-10-2020,Books,127,5,3347,Cash,20,0,"Curtis Smith",20,Female,0,635,1,1,1,0,0
42650,17-05-2020,Home,284,2,3531,"Credit Card",20,1,"Curtis Smith",20,Female,0,568,1,1,1,1,0
42650,18-03-2022,Electronics,256,2,3548,"Credit Card",20,0,"Curtis Smith",20,Female,0,512,1,1,1,0,0
42650,21-04-2021,Clothing,252,2,1775,"Credit Card",20,1,"Curtis Smith",20,Female,0,504,1,1,1,1,0
42650,26-01-2022,Electronics,105,2,3721,"Credit Card",20,0,"Curtis Smith",20,Female,0,210,1,1,1,0,0
42650,11-11-2020,Electronics,193,2,3266,PayPal,20,1,"Curtis Smith",20,Female,0,386,1,1,1,1,0
42650,29-04-2023,Home,43,1,2312,Cash,20,0,"Curtis Smith",20,Female,0,43,1,1,1,0,0
42650,04-07-2022,Home,30,5,642,PayPal,20,1,"Curtis Smith",20,Female,0,150,1,1,1,1,0
42650,01-08-2021,Electronics,30,3,5024,"Credit Card",20,1,"Curtis Smith",20,Female,0,90,1,1,1,1,0
42650,24-05-2020,Electronics,307,3,973,PayPal,20,0,"Curtis Smith",20,Female,0,921,1,1,1,0,0
42650,24-03-2022,Electronics,254,1,3865,PayPal,20,0,"Curtis Smith",20,Female,0,254,1,1,1,0,0
42650,02-09-2022,Books,12,3,3112,Cash,20,1,"Curtis Smith",20,Female,0,36,1,1,1,1,0
42650,14-11-2021,Books,66,3,250,PayPal,20,1,"Curtis Smith",20,Female,0,198,1,1,1,1,0
24053,17-11-2020,Electronics,102,2,5206,"Credit Card",53,1,"Jose Green",53,Male,0,204,1,1,1,1,0
24053,07-05-2021,Books,187,5,629,PayPal,53,1,"Jose Green",53,Male,0,935,1,1,1,1,0
24053,07-09-2022,Books,86,1,843,"Credit Card",53,1,"Jose Green",53,Male,0,86,1,1,1,1,0
24053,05-07-2020,Electronics,364,3,1008,"Credit Card",53,0,"Jose Green",53,Male,0,1092,1,1,1,0,0
24053,11-01-2022,Books,210,2,4567,"Credit Card",53,0,"Jose Green",53,Male,0,420,1,1,1,0,0
19676,12-01-2022,Clothing,304,3,4869,PayPal,57,1,"Linda Lee",57,Male,0,912,1,1,1,1,0
19676,26-06-2021,Electronics,329,1,3391,Cash,57,1,"Linda Lee",57,Male,0,329,1,1,1,1,0
19676,30-06-2022,Clothing,306,4,1712,"Credit Card",57,1,"Linda Lee",57,Male,0,1224,1,1,1,1,0
19676,20-04-2020,Electronics,165,5,603,"Credit Card",57,0,"Linda Lee",57,Male,0,825,1,1,1,0,0
19676,23-03-2021,Electronics,218,4,2866,PayPal,57,0,"Linda Lee",57,Male,0,872,1,1,1,0,0
19917,16-05-2023,Clothing,392,3,1378,"Credit Card",34,0,"Joshua Davis",34,Male,1,1176,1,1,1,0,0
19917,27-10-2021,Clothing,238,3,1760,"Credit Card",34,0,"Joshua Davis",34,Male,1,714,1,1,1,0,0
19917,09-12-2021,Books,174,5,4517,"Credit Card",34,0,"Joshua Davis",34,Male,1,870,1,1,1,0,0
19917,18-10-2022,Electronics,41,2,743,Cash,34,0,"Joshua Davis",34,Male,1,82,1,1,1,0,0
16051,20-08-2021,Books,118,2,3672,Cash,45,0,"Ellen Kent",45,Male,0,236,1,1,1,0,0
16051,14-02-2020,Clothing,14,4,2733,PayPal,45,0,"Ellen Kent",45,Male,0,56,1,1,1,0,0
16051,28-11-2021,Home,424,1,631,Cash,45,0,"Ellen Kent",45,Male,0,424,1,1,1,0,0
16051,30-10-2020,Clothing,351,5,716,PayPal,45,0,"Ellen Kent",45,Male,0,1755,1,1,1,0,0
16051,25-11-2020,Clothing,89,1,3577,PayPal,45,1,"Ellen Kent",45,Male,0,89,1,1,1,1,0
16051,13-09-2020,Home,287,3,3908,Cash,45,0,"Ellen Kent",45,Male,0,861,1,1,1,0,0
16051,29-08-2021,Home,400,3,4889,Cash,45,1,"Ellen Kent",45,Male,0,1200,1,1,1,1,0
16051,19-04-2022,Clothing,22,2,4490,"Credit Card",45,1,"Ellen Kent",45,Male,0,44,1,1,1,1,0
16051,31-05-2020,Home,23,1,3820,"Credit Card",45,0,"Ellen Kent",45,Male,0,23,1,1,1,0,0
23734,02-11-2021,Clothing,14,1,5020,"Credit Card",18,1,"Cheryl Espinoza",18,Male,0,14,1,1,1,1,0
23734,21-09-2022,Electronics,75,1,289,PayPal,18,0,"Cheryl Espinoza",18,Male,0,75,1,1,1,0,0
23734,09-02-2020,Books,283,5,2673,Cash,18,0,"Cheryl Espinoza",18,Male,0,1415,1,1,1,0,0
23734,19-06-2021,Clothing,31,4,4894,Cash,18,1,"Cheryl Espinoza",18,Male,0,124,1,1,1,1,0
16921,24-01-2023,Books,51,3,1881,PayPal,54,1,"Cheyenne James",54,Male,0,153,1,1,1,1,0
16921,04-02-2020,Clothing,350,2,1752,Cash,54,1,"Cheyenne James",54,Male,0,700,1,1,1,1,0
16921,07-01-2021,Home,66,1,2892,Cash,54,0,"Cheyenne James",54,Male,0,66,1,1,1,0,0
16921,21-03-2022,Home,47,3,4714,PayPal,54,1,"Cheyenne James",54,Male,0,141,1,1,1,1,0
16921,22-04-2021,Electronics,500,2,988,Cash,54,1,"Cheyenne James",54,Male,0,1000,1,1,1,1,0
16921,31-12-2020,Home,249,2,3171,"Credit Card",54,1,"Cheyenne James",54,Male,0,498,1,1,1,1,0
7796,16-09-2022,Clothing,195,1,3818,PayPal,21,1,"Lisa Dennis",21,Male,0,195,1,1,1,1,0
7796,22-10-2022,Electronics,145,2,2134,PayPal,21,0,"Lisa Dennis",21,Male,0,290,1,1,1,0,0
7796,12-11-2020,Home,381,3,368,Cash,21,1,"Lisa Dennis",21,Male,0,1143,1,1,1,1,0
7796,21-02-2022,Clothing,169,5,4986,PayPal,21,0,"Lisa Dennis",21,Male,0,845,1,1,1,0,0
21035,03-09-2022,Electronics,443,2,1884,"Credit Card",50,1,"Peter Watson",50,Female,1,886,1,1,1,1,0
21035,15-06-2021,Electronics,116,3,2334,"Credit Card",50,0,"Peter Watson",50,Female,1,348,1,1,1,0,0
21035,22-08-2021,Home,500,1,698,"Credit Card",50,1,"Peter Watson",50,Female,1,500,1,1,1,1,0
21035,28-11-2020,Home,249,1,2925,"Credit Card",50,0,"Peter Watson",50,Female,1,249,1,1,1,0,0
21035,15-03-2020,Books,112,4,793,PayPal,50,0,"Peter Watson",50,Female,1,448,1,1,1,0,0
21035,27-01-2021,Electronics,457,2,2919,PayPal,50,1,"Peter Watson",50,Female,1,914,1,1,1,1,0
21035,09-09-2023,Home,237,2,1088,Cash,50,1,"Peter Watson",50,Female,1,474,1,1,1,1,0
37125,08-06-2021,Electronics,207,5,783,"Credit Card",24,0,"Terry Campos",24,Female,0,1035,1,1,1,0,0
37125,23-08-2022,Electronics,311,2,2992,Cash,24,0,"Terry Campos",24,Female,0,622,1,1,1,0,0
37125,30-11-2022,Home,158,4,1047,Cash,24,0,"Terry Campos",24,Female,0,632,1,1,1,0,0
41840,16-09-2022,Clothing,10,5,3540,"Credit Card",48,0,"Ronald Berger",48,Male,0,50,1,1,1,0,0
41840,14-05-2023,Home,418,4,1599,"Credit Card",48,0,"Ronald Berger",48,Male,0,1672,1,1,1,0,0
41840,10-05-2021,Electronics,298,3,1837,Cash,48,1,"Ronald Berger",48,Male,0,894,1,1,1,1,0
41840,15-04-2021,Home,389,3,907,Cash,48,0,"Ronald Berger",48,Male,0,1167,1,1,1,0,0
41840,11-09-2022,Electronics,251,3,2525,PayPal,48,0,"Ronald Berger",48,Male,0,753,1,1,1,0,0
41840,07-06-2022,Clothing,72,2,869,"Credit Card",48,0,"Ronald Berger",48,Male,0,144,1,1,1,0,0
41840,12-11-2021,Electronics,277,5,3975,PayPal,48,0,"Ronald Berger",48,Male,0,1385,1,1,1,0,0
41840,19-02-2021,Home,431,2,4053,Cash,48,0,"Ronald Berger",48,Male,0,862,1,1,1,0,0
41840,09-09-2023,Home,369,5,1231,Cash,48,0,"Ronald Berger",48,Male,0,1845,1,1,1,0,0
41840,22-01-2021,Clothing,137,1,993,Cash,48,1,"Ronald Berger",48,Male,0,137,1,1,1,1,0
2642,04-05-2021,Books,20,5,5089,Cash,67,0,"Ian Kelley",67,Female,0,100,1,1,1,0,0
2642,18-05-2020,Clothing,179,4,4108,Cash,67,0,"Ian Kelley",67,Female,0,716,1,1,1,0,0
2642,06-08-2020,Books,77,1,396,Cash,67,0,"Ian Kelley",67,Female,0,77,1,1,1,0,0
2642,18-03-2022,Clothing,67,3,2261,Cash,67,1,"Ian Kelley",67,Female,0,201,1,1,1,1,0
2642,24-08-2021,Home,387,2,2958,"Credit Card",67,1,"Ian Kelley",67,Female,0,774,1,1,1,1,0
1254,15-08-2023,Home,476,1,1687,Cash,70,1,"Mr. David Morgan",70,Male,0,476,1,1,1,1,0
1254,21-03-2023,Home,413,5,3742,Cash,70,0,"Mr. David Morgan",70,Male,0,2065,1,1,1,0,0
